Id,Action
1,0.972
2,0.994
3,1.0
4,0.995
5,0.999
6,1.0
7,0.989
8,0.998
9,0.896
10,0.999
11,0.905
12,1.0
13,0.954
14,0.98
15,0.997
16,0.943
17,0.93
18,0.997
19,0.998
20,0.996
21,1.0
22,0.991
23,0.982
24,0.982
25,0.998
26,0.966
27,0.974
28,0.992
29,0.994
30,0.957
31,0.995
32,0.991
33,0.995
34,0.993
35,0.986
36,1.0
37,0.994
38,0.994
39,0.977
40,0.905
41,0.973
42,0.991
43,1.0
44,0.997
45,0.994
46,0.98
47,0.999
48,1.0
49,1.0
50,0.972
51,0.976
52,0.998
53,0.99
54,0.999
55,0.932
56,0.999
57,0.998
58,0.998
59,0.956
60,0.942
61,1.0
62,0.99
63,0.992
64,1.0
65,0.998
66,0.981
67,0.939
68,1.0
69,0.955
70,0.53
71,0.977
72,0.985
73,0.999
74,0.995
75,1.0
76,1.0
77,0.989
78,0.866
79,0.39
80,1.0
81,0.982
82,0.997
83,0.971
84,0.991
85,1.0
86,0.999
87,0.997
88,0.998
89,0.999
90,0.639
91,0.988
92,0.44
93,0.997
94,0.99
95,0.986
96,0.983
97,0.219
98,0.94
99,1.0
100,0.993
101,0.841
102,0.937
103,1.0
104,0.988
105,0.571
106,0.997
107,0.995
108,0.993
109,1.0
110,0.973
111,0.433
112,0.995
113,0.984
114,0.981
115,0.995
116,0.998
117,0.994
118,0.998
119,0.995
120,0.998
121,0.977
122,0.996
123,0.995
124,0.955
125,0.997
126,0.983
127,0.984
128,0.924
129,0.982
130,0.823
131,0.998
132,0.996
133,0.955
134,0.999
135,0.999
136,0.993
137,0.993
138,0.983
139,0.81
140,0.998
141,0.995
142,0.968
143,1.0
144,0.985
145,0.999
146,0.761
147,0.981
148,0.98
149,1.0
150,0.996
151,0.995
152,0.567
153,0.993
154,0.994
155,0.998
156,0.99
157,0.951
158,0.993
159,0.758
160,0.993
161,0.952
162,0.993
163,0.989
164,0.972
165,0.999
166,0.987
167,0.963
168,0.934
169,0.979
170,0.998
171,0.993
172,0.989
173,0.999
174,0.991
175,0.973
176,0.991
177,0.907
178,0.999
179,0.996
180,0.996
181,0.77
182,0.987
183,0.87
184,0.843
185,0.995
186,0.995
187,0.999
188,0.986
189,0.675
190,0.991
191,1.0
192,0.986
193,1.0
194,0.997
195,1.0
196,1.0
197,0.994
198,0.99
199,0.995
200,0.243
201,0.987
202,0.885
203,0.993
204,0.976
205,0.954
206,0.982
207,0.991
208,0.984
209,0.412
210,0.527
211,0.993
212,0.961
213,1.0
214,0.983
215,0.995
216,0.994
217,0.995
218,0.982
219,1.0
220,0.993
221,0.785
222,1.0
223,0.995
