P(boon,|"'a) = 100%	
P(my|"'by) = 100%	
P(fortune|"'once,) = 100%	
P(difficult|"'twere) = 100%	
P(will|"'you) = 100%	
P(laudem|"_deus) = 100%	
P(herro!|"_heil) = 100%	
P(maus|"_li) = 100%	
P(people|"_magioges_,") = 100%	
P(warrantors_.--and|"_of) = 100%	
P(li|"_tos) = 100%	
P(vetus|"_vestigium) = 100%	
P(william,|"_what) = 100%	
P(solitary|"a) = 9%	
P(wide|"a) = 9%	
P(certain|"a) = 9%	
P(confused|"a) = 9%	
P(misunderstanding|"a) = 9%	
P(monk,|"a) = 9%	
P(wood|"a) = 9%	
P(place|"a) = 9%	
P(token|"a) = 9%	
P(captain|"a) = 9%	
P(man|"a) = 9%	
P(the|"abated) = 100%	
P(be|"accursed) = 100%	
P(in|"act) = 100%	
P(advance!"|"advance!) = 100%	
P(long|"after) = 100%	
P(ai!"|"ai,) = 100%	
P(on|"aid") = 100%	
P(homage.|"aid,") = 100%	
P(and|"alfred) = 50%	
P(had|"alfred) = 50%	
P(his|"all) = 17%	
P(england|"all) = 17%	
P(of|"all) = 17%	
P(depends|"all) = 17%	
P(things,"|"all) = 17%	
P(the|"all) = 17%	
P(alone|"allah) = 100%	
P(against|"almost) = 100%	
P(we|"although) = 100%	
P(armory|"an) = 33%	
P(insolent|"an) = 33%	
P(evil|"an) = 33%	
P(on|"anathema) = 100%	
P(we|"and) = 18%	
P(there|"and) = 9%	
P(when|"and) = 9%	
P(all|"and) = 18%	
P(thither|"and) = 9%	
P(in|"and) = 9%	
P(now|"and) = 27%	
P(democratic|"anti-papal) = 100%	
P(democratic|"antipapal) = 100%	
P(rejoined|"anything,") = 100%	
P(of|"apostles) = 100%	
P(the|"are) = 100%	
P(by|"arrived) = 100%	
P(ye|"as) = 20%	
P(the|"as) = 20%	
P(soon|"as) = 20%	
P(often|"as) = 20%	
P(if|"as) = 20%	
P(a|"at) = 50%	
P(the|"at) = 50%	
P(probably|"athelney.") = 100%	
P(missionary|"augustine's) = 100%	
P(brow."|"baby) = 100%	
P(he|"bah!") = 100%	
P(by|"baldwin,) = 100%	
P(it|"be) = 100%	
P(venial|"became) = 100%	
P(struck|"begue) = 100%	
P(unwilling,"|"being) = 100%	
P(book,|"bell,) = 100%	
P(cousin|"beloved) = 100%	
P(the|"beyond) = 100%	
P(thou|"but) = 50%	
P(where,"|"but) = 50%	
P(says|"but,") = 100%	
P(a|"by) = 25%	
P(great|"by) = 25%	
P(the|"by) = 50%	
P(whose|"caliphates,") = 100%	
P(becomes|"canute) = 100%	
P(of|"career) = 100%	
P(chieftains,"|"certain) = 100%	
P(who|"charles,) = 100%	
P(of|"chivalry) = 100%	
P(the|"churl.") = 100%	
P(on|"commanded) = 100%	
P(of|"completion) = 100%	
P(of|"conquest) = 100%	
P(of|"convent) = 100%	
P(nothing|"courtain.") = 100%	
P(down|"cut) = 100%	
P(tax.|"danegild") = 100%	
P(of|"day) = 100%	
P(son,|"dear) = 100%	
P(of|"decay) = 100%	
P(of|"decline) = 100%	
P(such|"defects,") = 100%	
P(ye|"defend) = 100%	
P(their|"defending) = 100%	
P(and|"derring-do,") = 100%	
P(thou|"desirest) = 100%	
P(not|"did) = 100%	
P(rock"|"dighton) = 100%	
P(and|"dissension) = 100%	
P(lands|"distributed) = 100%	
P(the|"diverted) = 100%	
P(right"|"divine) = 100%	
P(not|"do) = 50%	
P(you|"do) = 50%	
P(the|"drat) = 100%	
P(william|"duke) = 100%	
P(english."|"early) = 100%	
P(from|"east-mark") = 100%	
P(and|"emperor";) = 100%	
P(by|"ennobled) = 100%	
P(inch|"every) = 100%	
P(to|"faithful) = 100%	
P(with|"fatigued) = 100%	
P(or|"feud") = 100%	
P(system."[8]|"feudal) = 100%	
P(its|"feudalism:) = 100%	
P(in|"fief.") = 100%	
P(simple,"|"fiefs) = 50%	
P(simple."|"fiefs) = 50%	
P(of|"field) = 100%	
P(concerning|"first,) = 100%	
P(or|"five) = 50%	
P(boroughs"|"five) = 50%	
P(with|"flowing) = 100%	
P(me|"for) = 20%	
P(the|"for) = 40%	
P(christ|"for) = 20%	
P(it|"for) = 20%	
P(even|"for,) = 100%	
P(said|"for,") = 100%	
P(the|"formerly,") = 100%	
P(thousand|"forty) = 100%	
P(of|"foundation) = 100%	
P(i|"frank,) = 100%	
P(service"|"free) = 100%	
P(among|"from) = 33%	
P(his|"from) = 33%	
P(nine|"from) = 33%	
P(for|"fuel) = 100%	
P(of|"gate) = 100%	
P(granted,|"gave,) = 100%	
P(to|"generations") = 100%	
P(out,|"go) = 50%	
P(back|"go) = 50%	
P(wills|"god) = 50%	
P(sees|"god) = 50%	
P(however,|"god,) = 100%	
P(to|"good) = 100%	
P(prior,"|"grand) = 100%	
P(prince"|"great) = 50%	
P(prince,"|"great) = 50%	
P(and|"growth) = 100%	
P(saw|"gurth) = 100%	
P(and|"hardship) = 100%	
P(mounted|"harold) = 33%	
P(knew|"harold) = 33%	
P(had|"harold) = 33%	
P(been|"hath) = 100%	
P(will|"he) = 17%	
P(rushed|"he) = 17%	
P(who|"he) = 17%	
P(brought|"he) = 17%	
P(deserves|"he) = 17%	
P(heard|"he) = 17%	
P(the|"henry) = 63%	
P(does|"henry) = 13%	
P(iii|"henry) = 25%	
P(taking|"her) = 50%	
P(coming|"her) = 50%	
P(is|"here) = 100%	
P(brave|"here,) = 100%	
P(is|"hildebrand) = 100%	
P(long|"how) = 100%	
P(thoughtless|"however) = 100%	
P(maigrot|"hugues) = 100%	
P(desire|"i) = 6%	
P(now|"i) = 6%	
P(shall|"i) = 12%	
P(did|"i) = 6%	
P(am|"i) = 18%	
P(desire,"|"i) = 6%	
